r_def,t_loc_tri,ent,n_hog,sex,eda,cs_p12,cs_p13_1,e_con,ur,clase1,rama,ing7c,alta_educacion_ingreso_missing,pre_asa,tip_con_2,anios_esc,hrsocup,ing_x_hrs,mh_col
0,1,15,1,1,28,1,7,6,1,1,4,3,0,1,contrato,16,50,102.32558,0
0,2,15,1,2,41,1,4,1,1,1,4,5,0,1,contrato,12,35,0,0
0,1,15,1,1,32,1,7,5,1,1,4,4,0,1,contrato,17,40,174.4186,0
0,3,15,1,1,28,1,2,1,1,1,1,1,0,2,sin_contrato,6,6,75,1
0,2,15,1,2,33,1,4,6,1,1,3,1,0,2,sin_contrato,12,48,25,1
0,1,15,1,1,28,1,7,5,1,1,4,7,1,1,contrato,13,72,0,0
0,1,15,1,1,49,1,4,5,1,1,4,2,0,1,contrato,12,60,0,0
0,2,15,1,2,36,1,7,1,1,1,2,2,0,1,contrato,17,48,0,0
0,1,15,1,2,56,1,3,6,1,1,2,1,0,1,contrato,9,40,0,0
0,1,15,1,1,43,1,7,6,1,1,4,2,0,1,contrato,17,45,72.35142,0
0,1,15,1,2,22,1,7,1,1,1,4,2,0,2,sin_contrato,16,42,41.52824,1
0,3,15,1,2,39,1,7,5,1,1,4,2,0,1,sin_contrato,16,45,72.35142,0
0,1,15,1,2,22,1,4,5,1,1,4,1,0,2,sin_contrato,12,48,0,1
0,2,15,1,2,44,1,3,5,1,1,4,6,0,0,No_aplica,9,35,0,1
0,2,15,1,2,27,1,4,1,1,1,3,1,0,2,sin_contrato,11,40,32.5,1
0,3,15,1,2,51,1,7,5,2,1,4,2,0,0,No_aplica,17,48,0,0
0,3,15,1,1,24,1,7,6,2,1,3,1,0,2,sin_contrato,15,48,31.25,1
0,3,15,1,1,47,1,2,5,2,1,1,2,0,2,sin_contrato,3,60,50,1
0,3,15,1,1,59,1,2,5,2,1,4,7,0,1,sin_contrato,6,40,0,0
0,3,15,1,2,52,1,3,4,2,1,4,1,0,2,sin_contrato,9,30,33.33333,1
0,3,15,1,1,17,1,3,6,2,1,6,6,0,0,No_aplica,8,48,0,1
0,3,15,1,2,61,2,0,4,2,1,2,7,0,0,No_aplica,0,26,0,1
0,4,9,1,2,48,1,3,6,2,1,4,1,0,2,sin_contrato,9,16,50,1
0,4,15,1,2,37,1,3,5,2,1,4,1,0,2,sin_contrato,9,28,35.71429,1
